[2026-01-15 17:51:42,943] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 17:51:42,959] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 17:51:42,974] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 17:51:42,990] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 17:51:43,006] INFO in server: Request: PUT /api/cart/update/99999 from 127.0.0.1
[2026-01-15 17:51:43,030] INFO in server: Request: DELETE /api/cart/remove/99999 from 127.0.0.1
[2026-01-15 17:51:43,047] INFO in server: Request: GET / from 127.0.0.1
[2026-01-15 17:51:43,071] INFO in server: Request: GET /home from 127.0.0.1
[2026-01-15 17:51:43,092] INFO in server: Request: GET /pricing from 127.0.0.1
[2026-01-15 18:50:55,107] INFO in logger: Logger initialized
[2026-01-15 18:51:13,361] INFO in logger: Logger initialized
[2026-01-15 18:51:13,714] INFO in logger: Logger initialized
[2026-01-15 16:55:24,665] INFO in logger: Logger initialized
[2026-01-15 16:55:25,122] INFO in logger: Logger initialized
[2026-01-15 16:55:42,576] INFO in server: Request: GET /auth/login from 172.19.0.1
[2026-01-15 16:55:46,990] INFO in server: Request: GET /auth/callback from 172.19.0.1
[2026-01-15 16:55:47,575] INFO in server: Request: GET /home from 172.19.0.1
[2026-01-15 16:55:47,633] INFO in server: Request: GET /source/styles/mycss.css from 172.19.0.1
[2026-01-15 16:55:47,636] INFO in server: Request: GET /source/files/test_logo.png from 172.19.0.1
[2026-01-15 16:55:47,639] INFO in server: Request: GET /source/files/logo.jpg from 172.19.0.1
[2026-01-15 16:55:47,640] INFO in server: Request: GET /source/files/tg.png from 172.19.0.1
[2026-01-15 16:55:47,642] INFO in server: Request: GET /source/files/yt.png from 172.19.0.1
[2026-01-15 16:55:58,994] INFO in server: Request: GET /api/cart from 172.19.0.1
[2026-01-15 16:55:59,038] INFO in server: Request: GET /favicon.ico from 172.19.0.1
[2026-01-15 16:56:10,253] INFO in server: Request: GET /api/cart/add/3 from 172.19.0.1
[2026-01-15 16:56:10,288] INFO in server: Request: GET /favicon.ico from 172.19.0.1
[2026-01-15 16:56:30,159] INFO in server: Request: GET /api/cart/add from 172.19.0.1
[2026-01-15 16:57:01,245] INFO in server: Request: GET /api/cart/update/1 from 172.19.0.1
[2026-01-15 16:58:45,760] INFO in server: Request: GET /api/cart/update/1 from 172.19.0.1
[2026-01-15 17:01:09,704] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 17:01:09,731] INFO in server: Request: GET /favicon.ico from 172.19.0.1
[2026-01-15 19:06:49,877] INFO in logger: Logger initialized
[2026-01-15 19:06:50,224] INFO in logger: Logger initialized
[2026-01-15 19:19:14,050] INFO in logger: Logger initialized
[2026-01-15 19:19:44,122] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 19:19:44,149] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 19:19:44,167] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 19:19:44,190] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 19:19:44,211] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 19:19:44,231] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 19:19:44,250] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 19:19:44,269] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
